num_node,k,var_heuristic,domain_heuristic,forward_checking,iteration,solution,nodes_visited,time
11,3,Simple Variable,Least Constrained Value,False,2,0,190,0.009493112564086914
11,3,Simple Variable,Least Constrained Value,False,3,0,142,0.007115602493286133
11,3,Simple Variable,Least Constrained Value,False,4,0,319,0.016758441925048828
11,3,Most Constrained Variable,Simple Value,False,0,0,79,0.0005233287811279297
11,3,Most Constrained Variable,Simple Value,False,1,6,250,0.0015287399291992188
11,3,Most Constrained Variable,Simple Value,False,2,0,115,0.0007226467132568359
11,3,Most Constrained Variable,Simple Value,False,3,0,52,0.0003819465637207031
11,3,Most Constrained Variable,Simple Value,False,4,0,238,0.0014541149139404297
11,3,Most Constrained Variable,Least Constrained Value,False,0,0,313,0.015874862670898438
11,3,Most Constrained Variable,Least Constrained Value,False,1,0,433,0.022521018981933594
11,3,Most Constrained Variable,Least Constrained Value,False,2,0,73,0.0039119720458984375
11,3,Most Constrained Variable,Least Constrained Value,False,3,0,112,0.005780696868896484
11,3,Most Constrained Variable,Least Constrained Value,False,4,0,121,0.006340742111206055
11,4,Simple Variable,Simple Value,False,0,336,2405,0.01471257209777832
11,4,Simple Variable,Simple Value,False,1,576,3557,0.022105932235717773
11,4,Simple Variable,Simple Value,False,2,648,10901,0.07512903213500977
11,4,Simple Variable,Simple Value,False,3,696,5673,0.03797411918640137
11,4,Simple Variable,Simple Value,False,4,288,5013,0.0349879264831543
11,4,Simple Variable,Least Constrained Value,False,0,624,3053,0.16746902465820312
11,4,Simple Variable,Least Constrained Value,False,1,1248,7941,0.44808149337768555
11,4,Simple Variable,Least Constrained Value,False,2,1176,4313,0.21315574645996094
11,4,Simple Variable,Least Constrained Value,False,3,264,3369,0.22409439086914062
11,4,Simple Variable,Least Constrained Value,False,4,528,4821,0.29906368255615234
11,4,Most Constrained Variable,Simple Value,False,0,1080,7025,0.04884696006774902
11,4,Most Constrained Variable,Simple Value,False,1,528,15365,0.12367129325866699
11,4,Most Constrained Variable,Simple Value,False,2,648,3945,0.025919198989868164
11,4,Most Constrained Variable,Simple Value,False,3,192,2973,0.022267818450927734
11,4,Most Constrained Variable,Simple Value,False,4,672,6513,0.046355485916137695
11,4,Most Constrained Variable,Least Constrained Value,False,0,408,6645,0.43682169914245605
